statename,distname,latitude,longitude,year,dswrf_avg_may_oct,pevpr_avg_may_oct,rhum_avg_may_oct,soilw_avg_may_oct,spei_avg_may_oct,tcdc_avg_may_oct,tmax_avg_may_oct,tmax_max_may_oct,tmin_avg_may_oct,tmin_min_may_oct,wspd_avg_may_oct,rainfall_sum_may_oct,rainfall_seasonal_anomaly,rainfall_iav,RICE_YIELD_Kgperha
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1976,253.816608333333,384.080398333333,72.2552625,0.240324266666667,-0.831738305,58.7499583333333,306.20833,316.28998,295.541663333333,293.28,2.88500973333333,411.40585809201,-30.5537590895178,-46.7246698895952,1002.08
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1977,246.666666666667,317.91809,76.8551213333333,0.256313373333333,0.584926906666667,61.4499506666667,305.524996666667,316.03998,295.811673333333,292.43,2.5866801,670.663304291666,13.2094851922177,63.0174415605121,1495.06
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1978,233.683308333333,363.338338333333,77.590801,0.250421191666667,0.420951008333333,64.5166006666667,305.18333,316.96,296.06833,293.68,3.19501241666667,737.008452191949,24.4086964666819,9.89246727467146,1562.09
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1979,249.649941666667,346.894348333333,73.5807213333333,0.261227688333333,0.0214566366666666,58.499959,306.33667,315.87,295.954996666667,292.57,2.68001303333333,498.389776743948,-15.8706765538061,-32.376653854962,1500
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1980,246.566608333333,330.175751666667,74.362252,0.251576795,-0.386931351666667,61.6999506666667,305.87833,318.15,295.679993333333,292.91998,2.73334246666667,301.488869786262,-49.107995739032,-39.5074129016184,1634.78
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1981,238.366616666667,338.958111666667,80.098785,0.267234651666667,0.140933381333333,63.9665923333333,305.016666666667,315.34,296.159996666667,293.76,2.78835045,629.053100287914,6.18558848598133,108.648863466792,2000
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1982,250.249958333333,393.84019,74.3736333333333,0.245282865,-0.103630778333333,61.7499593333333,306.176666666667,315.39,295.795003333333,292.43,2.9333394,430.482121683657,-27.3336425768329,-31.5666481118004,2067.65
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1983,246.483275,350.578753333333,75.2508733333333,0.260883325,1.09780272,62.1332596666667,306.125003333333,318.43,296.631666666667,293.87,2.6983439,760.092379964888,28.3053157727715,76.5676997205118,1847.51
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1984,255.666625,375.639421666667,74.9639008333333,0.245978991,-0.478170873333333,57.7499586666667,306.231656666667,318.16998,295.478333333333,292.38,2.88167321666667,359.65322047472,-39.2897215680089,-52.6829593408983,1605.02
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1985,252.58325,413.644633333333,74.4849566666667,0.229676969,-0.354107139333333,58.1165763333333,306.098333333333,316.43,295.375003333333,291.97,3.13001501666667,399.348848685622,-32.5890095931912,11.0371952622881,2049.03
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1986,261.249958333333,415.297521666667,71.4537568333333,0.23407344,-0.282119106666667,56.0332843333333,307.299996666667,317.56,295.69166,292.97998,3.07667541666667,379.429621532559,-35.9514202648274,-4.98792652554854,2153.85
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1987,260.300008333333,393.343108333333,74.9795,0.232877784,-0.362279846666667,56.4499506666667,306.996663333333,316.13,295.831673333333,293.05,2.82167561666667,469.178975686431,-20.80152595113,23.6537552844092,2092.11
